30
7321
1 3
464.857 13.122 4
511.348 10.0399 5
555.229 5.98618 6
597.108 2.57073 7
597.107 2.5703 8
1 11
428 28 0
474.483 23.4273 1
474.482 23.4276 2
519.103 19.3237 3
561.711 15.1785 4
603.684 12.8844 5
643.091 9.35124 6
681.484 6.61348 7
681.484 6.61348 8
719.997 3.40478 9
757.255 0.242609 10
1 4
468 28 0
512.248 23.4611 1
512.248 23.4611 2
555.302 19.5588 3
1 11
588 28 0
631.391 23.335 1
631.379 23.3348 2
673.296 19.3268 3
712.971 15.3116 4
751.817 12.1617 5
788.003 8.84452 6
823.044 5.85158 7
823.043 5.8433 8
855.955 2.70132 9
888.518 0.872779 10
1 11
596 28 0
639.387 23.3965 1
639.377 23.397 2
681.253 19.3781 3
720.965 15.3716 4
759.748 12.1954 5
795.92 8.89602 6
830.934 5.99661 7
830.934 5.99008 8
863.786 2.79329 9
896.038 1.95543 10
1 11
604 28 0
647.34 23.5738 1
647.331 23.5722 2
689.159 19.5537 3
728.926 15.4723 4
767.627 12.2835 5
803.747 9.03197 6
838.664 6.42471 7
838.664 6.41939 8
871.314 3.07306 9
903.469 2.31925 10
1 12
620 28 0
663.285 23.5013 1
663.279 23.5002 2
704.832 19.5127 3
744.618 15.3928 4
783.119 12.2105 5
819.156 8.94446 6
853.884 6.44399 7
853.883 6.44279 8
886.408 3.07857 9
918.271 2.52609 10
947.198 -0.365825 11
1 12
628 28 0
671.264 23.4805 1
671.259 23.4804 2
712.704 19.5015 3
752.482 15.3773 4
790.94 12.2014 5
826.904 8.95086 6
861.323 7.00314 7
861.322 7.00176 8
893.746 3.65476 9
925.466 3.10206 10
954.295 0.214077 11
1 12
636 28 0
679.227 23.4452 1
679.222 23.4447 2
720.566 19.448 3
760.321 15.3229 4
798.641 12.1581 5
834.518 8.91828 6
868.601 6.69631 7
868.6 6.69561 8
900.792 3.41745 9
932.26 2.74866 10
960.882 -0.135905 11
1 11
700 28 0
740.179 23.7311 1
740.179 23.7311 2
778.064 20.0925 3
814.634 16.1137 4
849.44 13.0429 5
882.692 9.72455 6
914.286 6.75063 7
914.286 6.75063 8
945.262 3.67774 9
974.805 1.4867 10
1 13
724 28 0
763.225 23.7483 1
763.227 23.7474 2
800.296 20.278 3
835.318 16.5587 4
869.313 13.4632 5
901.702 10.2168 6
932.424 7.36748 7
932.424 7.36748 8
962.141 3.83266 9
990.497 2.24569 10
1016.66 1.40664 11
1040.08 -0.425508 12
1 15
780 28 0
